,Marque,Model,Marque_Model,Prix,Mise_en_circulation,Puissance_fiscale,Kilometrage,Carburant,Boite_Vitesse,Gouvernorat
3013,Volkswagen,Passat,Volkswagen Passat,41000,2011,5,153000,Diesel,Manuelle,bizerte
3014,Volkswagen,Passat,Volkswagen Passat,41500,2010,5,140000,Diesel,Manuelle,nabeul
3015,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,33000,2017,5,140000,Essence,Manuelle,kairouan
3016,Volkswagen,Passat,Volkswagen Passat,36000,2010,5,270000,Diesel,Manuelle,kairouan
3017,Volkswagen,Golf6,Volkswagen Golf6,40000,2011,5,208000,Diesel,Manuelle,sfax
3018,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,34000,2015,5,173500,Essence,Manuelle,benarous
3019,Volkswagen,Caddy,Volkswagen Caddy,32500,2015,5,89000,Diesel,Manuelle,benarous
3020,Volkswagen,Passat,Volkswagen Passat,59500,2014,5,152000,Diesel,Manuelle,benarous
3021,Volkswagen,Passat,Volkswagen Passat,43000,2011,5,256000,Diesel,Manuelle,benarous
3022,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,35000,2015,5,104000,Essence,Manuelle,benarous
3023,Volkswagen,Passat,Volkswagen Passat,45500,2012,5,169000,Diesel,Manuelle,beja
3024,Volkswagen,Passat,Volkswagen Passat,40000,2011,5,200663,Diesel,Manuelle,sfax
3025,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,32000,2016,5,129000,Essence,Manuelle,sfax
3026,Volkswagen,Caddy,Volkswagen Caddy,39000,2017,5,163000,Diesel,Manuelle,monastir
3027,Volkswagen,Caddy,Volkswagen Caddy,34500,2015,5,75000,Diesel,Manuelle,sfax
3028,Volkswagen,Caddy,Volkswagen Caddy,37000,2015,5,65800,Diesel,Manuelle,zaghouan
3029,Volkswagen,Golf6,Volkswagen Golf6,39000,2012,5,255000,Essence,Manuelle,nabeul
3030,Volkswagen,Golf5,Volkswagen Golf5,29000,2007,5,165000,Diesel,Manuelle,benarous
3031,Volkswagen,Golf6,Volkswagen Golf6,37000,2011,5,143000,Essence,Manuelle,benarous
3032,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,45000,2017,5,87700,Essence,Manuelle,sousse
3033,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,49000,2018,5,29700,Essence,Manuelle,mahdia
3034,Volkswagen,Golf5,Volkswagen Golf5,29500,2008,5,240000,Diesel,Manuelle,manouba
3035,Volkswagen,Golf6,Volkswagen Golf6,39000,2010,5,153000,Essence,Manuelle,sidi-bouzid
3036,Volkswagen,Caddy,Volkswagen Caddy,38000,2017,5,165000,Diesel,Manuelle,gabes
3037,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,33500,2017,5,126000,Essence,Manuelle,sfax
3038,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,39000,2017,5,64000,Essence,Manuelle,sfax
3039,Volkswagen,Passat,Volkswagen Passat,35500,2010,5,290000,Diesel,Manuelle,medenine
3040,Volkswagen,POLOSEDAN,Volkswagen POLOSEDAN,34000,2015,5,185000,Essence,Manuelle,mahdia
3041,Volkswagen,Golf6,Volkswagen Golf6,33000,2011,5,152000,Essence,Manuelle,manouba
